#
# obstacle_immobile_100cm.txt - Text file for the Sensing System
#
# 2 June 2020 - 1.0
#
# Author: Ruben Condesso - 81969 - 2nd Semester (2020)
#
#
# SmartBike System - Master Thesis in Telecommunications and Computer Engineering
#
#
# Output of the results from the detection of an obstacle, using the Ultrasonic Sensor
#
# Obstacle (wall) is immobile and at 100cm from the sensor
#

# =================================================================================== Code starts here ===================================================================================== #


ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:7 | Obstacle distance: 100.42 | State: Moving | GPS Coordinates: 38.7366864,-9.3089574
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:8 | Obstacle distance: 100.6 | State: Immobile | GPS Coordinates: 38.7366864,-9.3089574
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:9 | Obstacle distance: 100.6 | State: Immobile | GPS Coordinates: 38.7366867,-9.3089569
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:10 | Obstacle distance: 101.15 | State: Immobile | GPS Coordinates: 38.7366867,-9.3089569
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:11 | Obstacle distance: 100.58 | State: Immobile | GPS Coordinates: 38.7366867,-9.3089569
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:12 | Obstacle distance: 100.65 | State: Immobile | GPS Coordinates: 38.7366867,-9.3089568
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:13 | Obstacle distance: 100.55 | State: Immobile | GPS Coordinates: 38.7366867,-9.3089568
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:14 | Obstacle distance: 101.04 | State: Immobile | GPS Coordinates: 38.7366866,-9.3089569
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:15 | Obstacle distance: 100.41 | State: Immobile | GPS Coordinates: 38.7366866,-9.3089569
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:16 | Obstacle distance: 100.94 | State: Immobile | GPS Coordinates: 38.7366867,-9.3089567
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:17 | Obstacle distance: 100.48 | State: Immobile | GPS Coordinates: 38.7366868,-9.3089564
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:18 | Obstacle distance: 100.67 | State: Immobile | GPS Coordinates: 38.7366868,-9.3089564
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:19 | Obstacle distance: 100.56 | State: Immobile | GPS Coordinates: 38.7366868,-9.3089563
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:20 | Obstacle distance: 100.51 | State: Immobile | GPS Coordinates: 38.7366867,-9.3089564
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:21 | Obstacle distance: 100.96 | State: Immobile | GPS Coordinates: 38.7366867,-9.3089564
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:22 | Obstacle distance: 100.31 | State: Immobile | GPS Coordinates: 38.7366867,-9.3089564
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:23 | Obstacle distance: 100.58 | State: Immobile | GPS Coordinates: 38.7366867,-9.3089565
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:24 | Obstacle distance: 100.92 | State: Immobile | GPS Coordinates: 38.7366867,-9.3089565
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:25 | Obstacle distance: 100.61 | State: Immobile | GPS Coordinates: 38.7366868,-9.3089563
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:26 | Obstacle distance: 100.94 | State: Immobile | GPS Coordinates: 38.7366868,-9.3089563
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:27 | Obstacle distance: 101.03 | State: Immobile | GPS Coordinates: 38.736687,-9.3089557
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:28 | Obstacle distance: 101.42 | State: Immobile | GPS Coordinates: 38.736687,-9.3089557
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:29 | Obstacle distance: 100.96 | State: Immobile | GPS Coordinates: 38.7366872,-9.3089554
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:30 | Obstacle distance: 101.39 | State: Immobile | GPS Coordinates: 38.7366872,-9.3089554
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:31 | Obstacle distance: 101.88 | State: Immobile | GPS Coordinates: 38.7366872,-9.3089553
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:32 | Obstacle distance: 100.98 | State: Immobile | GPS Coordinates: 38.7366872,-9.3089553
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:33 | Obstacle distance: 102.09 | State: Immobile | GPS Coordinates: 38.7366871,-9.3089554
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:34 | Obstacle distance: 101.9 | State: Immobile | GPS Coordinates: 38.7366871,-9.3089554
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:35 | Obstacle distance: 101.15 | State: Immobile | GPS Coordinates: 38.736687,-9.3089556
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:36 | Obstacle distance: 100.48 | State: Immobile | GPS Coordinates: 38.736687,-9.3089552
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:37 | Obstacle distance: 100.87 | State: Immobile | GPS Coordinates: 38.7366871,-9.3089551
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:38 | Obstacle distance: 101.01 | State: Immobile | GPS Coordinates: 38.7366871,-9.3089551
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:39 | Obstacle distance: 100.8 | State: Immobile | GPS Coordinates: 38.7366871,-9.3089551
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:40 | Obstacle distance: 101.06 | State: Immobile | GPS Coordinates: 38.7366872,-9.3089549
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:41 | Obstacle distance: 100.44 | State: Immobile | GPS Coordinates: 38.7366872,-9.3089549
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:42 | Obstacle distance: 274.88 | State: Moving | GPS Coordinates: 38.7366872,-9.3089549
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:43 | Obstacle distance: 100.73 | State: Moving | GPS Coordinates: 38.7366872,-9.3089549
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:44 | Obstacle distance: 100.39 | State: Immobile | GPS Coordinates: 38.7366871,-9.308955
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:45 | Obstacle distance: 101.56 | State: Immobile | GPS Coordinates: 38.7366871,-9.3089548
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:46 | Obstacle distance: 100.98 | State: Immobile | GPS Coordinates: 38.7366872,-9.3089547
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:47 | Obstacle distance: 100.61 | State: Immobile | GPS Coordinates: 38.7366873,-9.3089544
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:48 | Obstacle distance: 101.42 | State: Immobile | GPS Coordinates: 38.7366873,-9.3089544
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:49 | Obstacle distance: 101.01 | State: Immobile | GPS Coordinates: 38.7366873,-9.3089544
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:50 | Obstacle distance: 101.54 | State: Immobile | GPS Coordinates: 38.7366874,-9.3089541
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:51 | Obstacle distance: 101.13 | State: Immobile | GPS Coordinates: 38.7366874,-9.3089541
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:52 | Obstacle distance: 100.65 | State: Immobile | GPS Coordinates: 38.7366874,-9.3089541
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:54 | Obstacle distance: 101.48 | State: Immobile | GPS Coordinates: 38.7366876,-9.3089537
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:55 | Obstacle distance: 101.13 | State: Immobile | GPS Coordinates: 38.7366877,-9.3089535
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:56 | Obstacle distance: 101.12 | State: Immobile | GPS Coordinates: 38.7366877,-9.3089535
ID: 192.168.0.1 | Timestamp: 02 6 2020 17:53:57 | Obstacle distance: 74.38 | State: Moving | GPS Coordinates: 38.7366877,-9.3089534
